Datum,Kategori,Info,Story

2021-03-01,Avstämning,"Rätta mig själv: Alla, inklusiva jag, skulle behöva ta en API:kurs istället för OOP-kurs"

2021-03-01,Standup,Idag: Heroma Inför Medarbetarsamtal

2021-03-01,Standup,"Fre: Problem med Knowledge - Upptäckte att jag ska lösa Storyn, inte uppdatera den, så jag började med det"

2021-03-01,Standup,Fre: Portalkurs Udemy

2021-03-01,Standup,Idag: Räddade Louise från manuell makulering av ytterligare 40 RITM:er

2021-03-01,Avstämning,Läkarbesök 22:a Mars och ?April

2021-03-02,Estimering,Hur många WF:filer behöver uppdateras?,Utbytesperiod för Assets

2021-03-02,Estimering,Ska det göras retroaktivt?,Utbytesperiod för Assets

2021-03-02,Estimering,Skulle vi kunna göra en API för detta?,Utbytesperiod för Assets

2021-03-02,Estimering,"Skapa upp ett fält, 1",Attribut för Assets: UUID
2021-03-02,Estimering,API:er,Ändra Asset Inläsning
2021-03-02,Estimering,Utreda teknisk skuld i WF först,Assets
2021-03-02,Estimering,Rappport ?,Export till SNOW
2021-03-05,Standup,Ta bort Test av kostnadsartikel Cat Item från prod? ,STRY0018500
2021-03-02,Test,Test,Test
2021-03-03,Standup,Möte,Estimering
2021-03-03,Standup,Hjälp från Nora,Problem
2021-03-03,Standup,100% Knowledge,Idag
2021-03-03,Standup,Ska jag göra översättningarna jag frågade dig om igår eller har du gjort dom?,Ola
2021-03-03,Standup,Portalkurs Widgets,Udemy
2021-03-02,t,t,t
2021-03-02,e,e,e
2021-03-04,Standup,Svar på fråga om översättningar,Ola
2021-03-04,Standup,Svar på fråga om översättningar,Ola
2021-03-04,Standup,"Portalkurs Widgets 
",Udemy
2021-03-04,a,a ,a
2021-03-04,a,a ,a
2021-03-05,a,a,a
2021-03-04,a,a,a
2021-03-04,Standup,a,a
2021-03-08,st,up,and
2021-03-09,st,up,and
2021-03-03,a,c,b
2021-03-08,a,c,b
2020-03-08,a,c,b
2021-03-08,a,c,b
2022-03-01,a,c,b
2023-03-01,a,c,b
2024-03-01,a,c,b
2021-03-04,Standup,"Views/View är hårdkodat, klona hela Knowledge Article Content eller vänta till Paris?",Knowledge
